x_c,y_c,z_c,cmd_theta_lower_neck_pan,cmd_theta_lower_neck_tilt,cmd_theta_upper_neck_tilt,cmd_theta_right_eye,cmd_theta_tilt,state_theta_lower_neck_pan,state_theta_left_lower_neck_tilt,state_theta_right_lower_neck_tilt,state_theta_left_upper_neck_tilt,state_theta_right_upper_neck_tilt,state_theta_right_eye,state_theta_tilt
-1.3530871191994336,-0.4460564248959656,1.0675677919369628,-30,0,0,-14,20,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-14.23828125,20.126953125
-1.1520630733571493,-0.42568699287054157,1.0617558986532556,-30,0,0,-12,20,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-12.041015625,20.126953125
-1.0161893025509678,-0.41217433018328564,1.0579176875187555,-30,0,0,-10,20,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-10.107421875,20.126953125
-0.9061511911442106,-0.40118363693486525,1.054924646759554,-30,0,0,-8,20,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-8.173828125,20.126953125
-0.8033888609059799,-0.39033322674813453,1.051792683038237,-30,0,0,-6,20,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-6.15234375,20.126953125
-0.7075795422727209,-0.381020581961938,1.049234074525269,-30,0,0,-4,20,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-4.130859375,20.126953125
-0.6317940135097746,-0.3727320394888633,1.047023938733066,-30,0,0,-2,20,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-2.021484375,20.126953125
-0.5602035572677089,-0.36466353359712106,1.044838719392613,-30,0,0,0,20,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-0.087890625,20.126953125
-0.4752418630885253,-0.3553433550729605,1.0424512579870875,-30,0,0,2,20,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,1.845703125,20.126953125
-0.4056014092604032,-0.34789516282433197,1.040405419065484,-30,0,0,4,20,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,3.8671875,20.126953125
-0.33756786822221974,-0.3404219701292149,1.0385540399341646,-30,0,0,6,20,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,5.888671875,20.126953125
-0.27172662260691505,-0.3333373983831291,1.0367880754923133,-30,0,0,8,20,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,7.822265625,20.126953125
-0.2087798118618246,-0.3262141313992657,1.0348266279835392,-30,0,0,10,20,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,9.755859375,20.126953125
-0.15562167937549398,-0.31967224558739904,1.0333535507047151,-30,0,0,12,20,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,11.513671875,20.126953125
-100.0,-100.0,-100.0,-30,0,0,14,20,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,13.53515625,20.126953125
-1.3563962772235212,-0.40355974217733664,1.067925559681082,-30,0,0,-14,15,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-14.150390625,15.205078125
-1.1583546961317988,-0.38650979912251615,1.062107630389502,-30,0,0,-12,15,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-12.12890625,15.1171875
-1.0165387318910537,-0.37462117172022025,1.058208928665264,-30,0,0,-10,15,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-10.107421875,15.1171875
-0.9030250893674784,-0.3637826885266946,1.0550051539053593,-30,0,0,-8,15,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-8.173828125,15.1171875
-0.8047376794386732,-0.35544859110122895,1.0519939332095884,-30,0,0,-6,15,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-6.15234375,15.1171875
-0.7095175578015048,-0.3473556857636644,1.049362927534594,-30,0,0,-4,15,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-4.04296875,15.1171875
-0.6362786753400365,-0.3404812680084358,1.047352454343653,-30,0,0,-2,15,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-2.021484375,15.1171875
-0.5616815053912565,-0.33340836289640197,1.0451186240253687,-30,0,0,0,15,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-0.17578125,15.205078125
-0.4778217193525528,-0.32521541228593287,1.0427134525118953,-30,0,0,2,15,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,1.845703125,15.205078125
-0.4054474244751879,-0.3185316181116514,1.0406471878806056,-30,0,0,4,15,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,3.8671875,15.1171875
-0.3397285509377792,-0.3119497574011976,1.0386975465875872,-30,0,0,6,15,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,5.888671875,15.1171875
-0.2738628018780479,-0.30573885250663074,1.0367512834047925,-30,0,0,8,15,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,7.822265625,15.205078125
-0.2116749804073047,-0.29946440283144304,1.0349746912262345,-30,0,0,10,15,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,9.755859375,15.1171875
