x_c,y_c,z_c,cmd_theta_lower_neck_pan,cmd_theta_lower_neck_tilt,cmd_theta_upper_neck_tilt,cmd_theta_right_eye,cmd_theta_tilt,state_theta_lower_neck_pan,state_theta_left_lower_neck_tilt,state_theta_right_lower_neck_tilt,state_theta_left_upper_neck_tilt,state_theta_right_upper_neck_tilt,state_theta_right_eye,state_theta_tilt
-1.6605516381743517,-0.4978993103724026,1.0765588381001368,-35,0,0,-14,20,-34.27734375,0.703125,-0.703125,-0.087890625,0.0,-14.150390625,20.126953125
-1.412288034771126,-0.46624102984959925,1.0697790561906662,-35,0,0,-12,20,-34.27734375,0.703125,-0.703125,-0.087890625,0.0,-12.041015625,20.126953125
-1.2272879042208455,-0.44417555555944865,1.0641594284774152,-35,0,0,-10,20,-34.27734375,0.703125,-0.703125,-0.087890625,0.0,-10.107421875,20.126953125
-1.1049017523548255,-0.42966615706674827,1.0606039965331808,-35,0,0,-8,20,-34.27734375,0.703125,-0.703125,-0.087890625,0.0,-8.173828125,20.126953125
-0.9771912714466297,-0.41360434575473914,1.0572289864595783,-35,0,0,-6,20,-34.27734375,0.703125,-0.703125,-0.087890625,0.0,-6.15234375,20.126953125
-0.8729518277563691,-0.40178918758765825,1.0542693416666937,-35,0,0,-4,20,-34.27734375,0.703125,-0.703125,-0.087890625,0.0,-4.130859375,20.126953125
-0.7876119000194339,-0.3910918100715432,1.051573695587376,-35,0,0,-2,20,-34.27734375,0.703125,-0.703125,-0.087890625,0.0,-2.109375,20.126953125
-0.7019163330087984,-0.3797181003151153,1.0490682623223047,-35,0,0,0,20,-34.27734375,0.703125,-0.703125,-0.087890625,0.0,-0.17578125,20.126953125
-0.6077136581472561,-0.36772374575009525,1.0463815323013341,-35,0,0,2,20,-34.27734375,0.703125,-0.703125,-0.087890625,0.0,1.7578125,20.126953125
-0.5300872636528209,-0.3574790541428779,1.044296738962253,-35,0,0,4,20,-34.27734375,0.703125,-0.703125,-0.087890625,0.0,3.8671875,20.126953125
-0.45894157883996634,-0.3481197375244645,1.0421483991982063,-35,0,0,6,20,-34.27734375,0.703125,-0.703125,-0.087890625,0.0,5.80078125,20.126953125
-0.3850976776757663,-0.3386285692112483,1.0401480801168623,-35,0,0,8,20,-34.27734375,0.703125,-0.703125,-0.087890625,0.0,7.822265625,20.126953125
-0.31968135883231596,-0.3300513376149085,1.0381627903621788,-35,0,0,10,20,-34.27734375,0.703125,-0.703125,-0.087890625,0.0,9.66796875,20.126953125
-0.2619282357525454,-0.3220710036360132,1.0365252998569292,-35,0,0,12,20,-34.27734375,0.703125,-0.703125,-0.087890625,0.0,11.513671875,20.126953125
-0.19733090273941167,-0.3128946755930354,1.034669106835661,-35,0,0,14,20,-34.27734375,0.703125,-0.703125,-0.087890625,0.0,13.53515625,20.126953125
-1.6736815267345915,-0.45204574982695817,1.077200775138115,-35,0,0,-14,15,-34.27734375,0.703125,-0.703125,-0.087890625,0.0,-14.23828125,15.205078125
-1.4159959555446897,-0.4247512952468765,1.0695492746159465,-35,0,0,-12,15,-34.27734375,0.703125,-0.703125,-0.087890625,0.0,-12.12890625,15.1171875
-1.2328806630633236,-0.405219880942491,1.0644282864230554,-35,0,0,-10,15,-34.27734375,0.703125,-0.703125,-0.087890625,0.0,-10.01953125,15.1171875
-1.0969595452081387,-0.38980171731835694,1.0607490092940621,-35,0,0,-8,15,-34.27734375,0.703125,-0.703125,-0.087890625,0.0,-8.0859375,15.1171875
-0.9819147438503345,-0.3776577777732776,1.0573879951596803,-35,0,0,-6,15,-34.27734375,0.703125,-0.703125,-0.087890625,0.0,-6.15234375,15.1171875
-0.870978284289341,-0.36607073294872255,1.0542663724858368,-35,0,0,-4,15,-34.27734375,0.703125,-0.703125,-0.087890625,0.0,-4.04296875,15.1171875
-0.7882553361905674,-0.3569836556090874,1.0516690544780454,-35,0,0,-2,15,-34.27734375,0.703125,-0.703125,-0.087890625,0.0,-2.021484375,15.205078125
-0.7045458340573121,-0.3469952448576086,1.0494314395589401,-35,0,0,0,15,-34.27734375,0.703125,-0.703125,-0.087890625,0.0,-0.17578125,15.205078125
-0.6086053980346466,-0.33645979774786544,1.0465803813553263,-35,0,0,2,15,-34.27734375,0.703125,-0.703125,-0.087890625,0.0,1.7578125,15.205078125
-0.5339595024297559,-0.32751141198216105,1.0443369263610587,-35,0,0,4,15,-34.27734375,0.703125,-0.703125,-0.087890625,0.0,3.779296875,15.1171875
-0.45888401430036035,-0.3189857206308211,1.0423617483094734,-35,0,0,6,15,-34.27734375,0.703125,-0.703125,-0.087890625,0.0,5.888671875,15.1171875
-0.3867462723338424,-0.31083400077216067,1.040312759237637,-35,0,0,8,15,-34.27734375,0.703125,-0.703125,-0.087890625,0.0,7.822265625,15.1171875
-0.32074889088896097,-0.30320874242738344,1.0384085754152386,-35,0,0,10,15,-34.27734375,0.703125,-0.703125,-0.087890625,0.0,9.755859375,15.205078125
-0.2624675462564712,-0.29566684033188984,1.0366258637935712,-35,0,0,12,15,-34.27734375,0.703125,-0.703125,-0.087890625,0.0,11.513671875,15.205078125
