x_c,y_c,z_c,cmd_theta_lower_neck_pan,cmd_theta_lower_neck_tilt,cmd_theta_upper_neck_tilt,cmd_theta_left_eye,cmd_theta_tilt,state_theta_lower_neck_pan,state_theta_left_lower_neck_tilt,state_theta_right_lower_neck_tilt,state_theta_left_upper_neck_tilt,state_theta_right_upper_neck_tilt,state_theta_left_eye,state_theta_tilt
-0.7489918499924989,-0.31208759266850494,1.0506411489759544,-30,0,0,-8,10,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-8.0859375,10.1953125
-0.6757653057280955,-0.30640960818618224,1.0483997582092783,-30,0,0,-6,10,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-6.15234375,10.1953125
-0.5991476849370005,-0.30041766191640684,1.046250030534268,-30,0,0,-4,10,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-4.04296875,10.1953125
-0.5286493801814269,-0.29378439045380433,1.0441908292373825,-30,0,0,-2,10,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-2.109375,10.1953125
-0.47379586417598585,-0.28891893051907447,1.0425965743146752,-30,0,0,0,10,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-0.263671875,10.1953125
-0.4017179350086071,-0.2816490043641022,1.0406351422480788,-30,0,0,2,10,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,1.7578125,10.1953125
-0.34621594707696746,-0.27715662995457135,1.039064084554323,-30,0,0,4,10,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,3.603515625,10.1953125
-0.2875767877158417,-0.27165852802117824,1.037249101315388,-30,0,0,6,10,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,5.625,10.1953125
-0.22782373029105019,-0.2660894974366861,1.0356299628439678,-30,0,0,8,10,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,7.55859375,10.1953125
-0.16909414400106848,-0.2605441476337317,1.0338447113311227,-30,0,0,10,10,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,9.580078125,10.1953125
-0.12111748104307563,-0.25655454385739207,1.0325182498352323,-30,0,0,12,10,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,11.25,10.1953125
-0.06129374171707369,-0.2505840579662195,1.0307209411267997,-30,0,0,14,10,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,13.271484375,10.1953125
-100.0,-100.0,-100.0,-30,0,0,-14,5,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-14.0625,5.185546875
-100.0,-100.0,-100.0,-30,0,0,-12,5,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-12.041015625,5.185546875
-100.0,-100.0,-100.0,-30,0,0,-10,5,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-9.931640625,5.185546875
-0.7515742840888083,-0.27353006341037833,1.0507621842282637,-30,0,0,-8,5,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-7.998046875,5.185546875
-0.6777547552180165,-0.2681768106669553,1.0485801610137955,-30,0,0,-6,5,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-6.15234375,5.185546875
-0.6028077600790867,-0.2634928654241479,1.0464937513365529,-30,0,0,-4,5,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-4.04296875,5.185546875
-0.5312423108677486,-0.2577975504912769,1.0444560259295894,-30,0,0,-2,5,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-2.109375,5.185546875
-0.47574843272950496,-0.2534137573739973,1.0427723287738335,-30,0,0,0,5,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-0.3515625,5.185546875
-0.405000085736542,-0.247283596393402,1.0407603809105221,-30,0,0,2,5,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,1.669921875,5.185546875
-0.34635319725276725,-0.24285815242742828,1.0390745131593835,-30,0,0,4,5,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,3.69140625,5.185546875
-0.28746246414178855,-0.2387799493996679,1.0374268227632555,-30,0,0,6,5,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,5.625,5.185546875
-0.22865522813967465,-0.2343517282179682,1.0357367878357584,-30,0,0,8,5,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,7.55859375,5.185546875
-0.17273358472559408,-0.22970541306789488,1.0340508719784025,-30,0,0,10,5,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,9.4921875,5.185546875
-0.12194170724418363,-0.2259913899848838,1.0326319117077496,-30,0,0,12,5,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,11.337890625,5.185546875
-0.06257555166712536,-0.22095997362231962,1.0309087902875886,-30,0,0,14,5,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,13.271484375,5.185546875
-100.0,-100.0,-100.0,-30,0,0,-14,0,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-14.0625,0.439453125
-100.0,-100.0,-100.0,-30,0,0,-12,0,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-11.953125,0.439453125
-0.8293689729856465,-0.23861668808400177,1.0529903956505895,-30,0,0,-10,0,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-9.931640625,0.3515625
-0.7522370690687594,-0.2344602306912569,1.0509951727642057,-30,0,0,-8,0,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-7.998046875,0.3515625
-0.6828117632602071,-0.23161951279336254,1.0489552619978035,-30,0,0,-6,0,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-6.15234375,0.3515625
-0.605209764500426,-0.22661120205747343,1.0466359489088688,-30,0,0,-4,0,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-4.04296875,0.3515625
-0.5349632193358759,-0.22180439471817287,1.0446120614139849,-30,0,0,-2,0,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-2.109375,0.3515625
-0.47619667287933476,-0.217901632056902,1.0428632529356605,-30,0,0,0,0,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-0.263671875,0.3515625
-0.40577590856312185,-0.2132737883421571,1.040787656675377,-30,0,0,2,0,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,1.7578125,0.3515625
-0.3485401403771944,-0.21025847626860322,1.0392285052697943,-30,0,0,4,0,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,3.603515625,0.3515625
-0.2891062721167662,-0.20680706293950057,1.0376045770346685,-30,0,0,6,0,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,5.625,0.3515625
-0.22912015930653062,-0.20312851848043917,1.0358896305897,-30,0,0,8,0,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,7.55859375,0.3515625
