x_c,y_c,z_c,cmd_theta_lower_neck_pan,cmd_theta_lower_neck_tilt,cmd_theta_upper_neck_tilt,cmd_theta_left_eye,cmd_theta_tilt,state_theta_lower_neck_pan,state_theta_left_lower_neck_tilt,state_theta_right_lower_neck_tilt,state_theta_left_upper_neck_tilt,state_theta_right_upper_neck_tilt,state_theta_left_eye,state_theta_tilt
-100.0,-100.0,-100.0,-35,0,0,-14,20,-34.27734375,0.703125,-0.703125,-0.087890625,0.0,-14.0625,20.126953125
-100.0,-100.0,-100.0,-35,0,0,-12,20,-34.27734375,0.703125,-0.703125,-0.087890625,0.0,-11.865234375,20.126953125
-100.0,-100.0,-100.0,-35,0,0,-10,20,-34.27734375,0.703125,-0.703125,-0.087890625,0.0,-9.931640625,20.126953125
-100.0,-100.0,-100.0,-35,0,0,-8,20,-34.27734375,0.703125,-0.703125,-0.087890625,0.0,-8.173828125,20.126953125
-0.8142603184114602,-0.41005167762152045,1.0525229500045374,-35,0,0,-6,20,-34.27734375,0.703125,-0.703125,-0.087890625,0.0,-6.240234375,20.126953125
-0.740373401842273,-0.38500527928993894,1.0504454854657879,-35,0,0,-4,20,-34.27734375,0.703125,-0.703125,-0.087890625,0.0,-4.21875,20.126953125
-0.658297233204747,-0.3733517541962901,1.047880836119974,-35,0,0,-2,20,-34.27734375,0.703125,-0.703125,-0.087890625,0.0,-2.109375,20.126953125
-0.594176159733569,-0.364294291418347,1.0459930979470604,-35,0,0,0,20,-34.27734375,0.703125,-0.703125,-0.087890625,0.0,-0.263671875,20.126953125
-0.5212700270011208,-0.35401114232529146,1.043915930386052,-35,0,0,2,20,-34.27734375,0.703125,-0.703125,-0.087890625,0.0,1.669921875,20.126953125
-0.4579130812859896,-0.34567321023616,1.0422366007638248,-35,0,0,4,20,-34.27734375,0.703125,-0.703125,-0.087890625,0.0,3.603515625,20.126953125
-0.3931647845704108,-0.3363467531234684,1.0402680891404161,-35,0,0,6,20,-34.27734375,0.703125,-0.703125,-0.087890625,0.0,5.625,20.126953125
-0.3304389085341063,-0.32703421510182634,1.038594207020471,-35,0,0,8,20,-34.27734375,0.703125,-0.703125,-0.087890625,0.0,7.55859375,20.126953125
-0.26968112912437214,-0.31901937657798224,1.0367487555892114,-35,0,0,10,20,-34.27734375,0.703125,-0.703125,-0.087890625,0.0,9.4921875,20.126953125
-0.21814236225925687,-0.3119938116473644,1.0352854756054928,-35,0,0,12,20,-34.27734375,0.703125,-0.703125,-0.087890625,0.0,11.337890625,20.126953125
-0.15880199162293707,-0.30325138970560006,1.03357873882304,-35,0,0,14,20,-34.27734375,0.703125,-0.703125,-0.087890625,0.0,13.271484375,20.126953125
-100.0,-100.0,-100.0,-35,0,0,-14,15,-34.27734375,0.703125,-0.703125,-0.087890625,0.0,-14.0625,15.205078125
-100.0,-100.0,-100.0,-35,0,0,-12,15,-34.27734375,0.703125,-0.703125,-0.087890625,0.0,-11.953125,15.1171875
-100.0,-100.0,-100.0,-35,0,0,-10,15,-34.27734375,0.703125,-0.703125,-0.087890625,0.0,-9.931640625,15.1171875
-100.0,-100.0,-100.0,-35,0,0,-8,15,-34.27734375,0.703125,-0.703125,-0.087890625,0.0,-8.0859375,15.1171875
-0.805425085219465,-0.3628245648005171,1.0522910575641085,-35,0,0,-6,15,-34.27734375,0.703125,-0.703125,-0.087890625,0.0,-6.240234375,15.1171875
-0.7429386874003678,-0.3519045378391967,1.0505785381868837,-35,0,0,-4,15,-34.27734375,0.703125,-0.703125,-0.087890625,0.0,-4.21875,15.1171875
-0.6607603663487285,-0.34135855727409353,1.0480199167844655,-35,0,0,-2,15,-34.27734375,0.703125,-0.703125,-0.087890625,0.0,-2.109375,15.205078125
-0.5970591420714353,-0.33331411664077637,1.0463493719799226,-35,0,0,0,15,-34.27734375,0.703125,-0.703125,-0.087890625,0.0,-0.263671875,15.205078125
-0.5225628674325882,-0.32394605424723055,1.044132240425072,-35,0,0,2,15,-34.27734375,0.703125,-0.703125,-0.087890625,0.0,1.669921875,15.205078125
-0.4598466341475123,-0.3164169670122977,1.0422197372811501,-35,0,0,4,15,-34.27734375,0.703125,-0.703125,-0.087890625,0.0,3.603515625,15.1171875
-0.3938100522196134,-0.30815751893645943,1.0405028324800054,-35,0,0,6,15,-34.27734375,0.703125,-0.703125,-0.087890625,0.0,5.625,15.1171875
-0.3324894191750789,-0.30057574352789607,1.0387601743647095,-35,0,0,8,15,-34.27734375,0.703125,-0.703125,-0.087890625,0.0,7.55859375,15.1171875
