x_c,y_c,z_c,cmd_theta_lower_neck_pan,cmd_theta_lower_neck_tilt,cmd_theta_upper_neck_tilt,cmd_theta_right_eye,cmd_theta_tilt,state_theta_lower_neck_pan,state_theta_left_lower_neck_tilt,state_theta_right_lower_neck_tilt,state_theta_left_upper_neck_tilt,state_theta_right_upper_neck_tilt,state_theta_right_eye,state_theta_tilt
-1.1216417535755243,-0.40938152709635445,1.0609172639725408,-25,0,0,-14,20,-24.43359375,0.703125,-0.703125,-0.087890625,0.087890625,-14.23828125,20.126953125
-0.9628876502442454,-0.39630988233795544,1.0563354800047347,-25,0,0,-12,20,-24.43359375,0.703125,-0.703125,-0.087890625,0.087890625,-12.041015625,20.126953125
-0.8444148898091877,-0.38684123971321455,1.0530226737076496,-25,0,0,-10,20,-24.43359375,0.703125,-0.703125,-0.087890625,0.087890625,-10.107421875,20.126953125
-0.7509035026554238,-0.37943789944254475,1.0503456247186633,-25,0,0,-8,20,-24.43359375,0.703125,-0.703125,-0.087890625,0.087890625,-8.0859375,20.126953125
-0.6608640590552083,-0.3718008942193221,1.0478440012150656,-25,0,0,-6,20,-24.43359375,0.703125,-0.703125,-0.087890625,0.087890625,-6.15234375,20.126953125
-0.5774208335411403,-0.36518348536959816,1.0453809071629896,-25,0,0,-4,20,-24.43359375,0.703125,-0.703125,-0.087890625,0.087890625,-4.130859375,20.126953125
-0.512786412514798,-0.3593729446488605,1.043435330091323,-25,0,0,-2,20,-24.43359375,0.703125,-0.703125,-0.087890625,0.087890625,-2.021484375,20.126953125
-0.4456224460153674,-0.3533274139999847,1.0416448614291145,-25,0,0,0,20,-24.43359375,0.703125,-0.703125,-0.087890625,0.087890625,-0.17578125,20.126953125
-0.3669504056319943,-0.34629318041621027,1.0392955428550477,-25,0,0,2,20,-24.43359375,0.703125,-0.703125,-0.087890625,0.087890625,1.7578125,20.126953125
-0.3025529377126359,-0.3408858992767267,1.0374443080323665,-25,0,0,4,20,-24.43359375,0.703125,-0.703125,-0.087890625,0.087890625,3.8671875,20.126953125
-0.2396280077062246,-0.3350184138747042,1.0357609986112175,-25,0,0,6,20,-24.43359375,0.703125,-0.703125,-0.087890625,0.087890625,5.80078125,20.126953125
-0.17641786498599654,-0.32975917149957823,1.0338170735768415,-25,0,0,8,20,-24.43359375,0.703125,-0.703125,-0.087890625,0.087890625,7.822265625,20.126953125
-0.11639048817571307,-0.3243695226143411,1.0321509377230715,-25,0,0,10,20,-24.43359375,0.703125,-0.703125,-0.087890625,0.087890625,9.755859375,20.126953125
-100.0,-100.0,-100.0,-25,0,0,12,20,-24.43359375,0.703125,-0.703125,-0.087890625,0.087890625,11.513671875,20.126953125
