x_c,y_c,z_c,cmd_theta_lower_neck_pan,cmd_theta_lower_neck_tilt,cmd_theta_upper_neck_tilt,cmd_theta_left_eye,cmd_theta_tilt,state_theta_lower_neck_pan,state_theta_left_lower_neck_tilt,state_theta_right_lower_neck_tilt,state_theta_left_upper_neck_tilt,state_theta_right_upper_neck_tilt,state_theta_left_eye,state_theta_tilt
-0.20540931989294153,-0.32569654698473416,1.03579030709738,5,0,0,-14,20,4.39453125,0.703125,-0.703125,-0.087890625,0.087890625,-13.974609375,20.126953125
-0.13620761545852422,-0.3281910599618246,1.0337844018093298,5,0,0,-12,20,4.39453125,0.703125,-0.703125,-0.087890625,0.087890625,-11.953125,20.126953125
-0.07985602302305739,-0.33046848876210577,1.0321380899718307,5,0,0,-10,20,4.39453125,0.703125,-0.703125,-0.087890625,0.087890625,-9.931640625,20.126953125
-0.03263580049427228,-0.3321174973640487,1.030797457705121,5,0,0,-8,20,4.39453125,0.703125,-0.703125,-0.087890625,0.087890625,-7.998046875,20.126953125
0.02190607233637243,-0.33415089789215074,1.0291321025043259,5,0,0,-6,20,4.39453125,0.703125,-0.703125,-0.087890625,0.087890625,-6.15234375,20.126953125
0.07675197821075408,-0.33724914291901326,1.0274518606889633,5,0,0,-4,20,4.39453125,0.703125,-0.703125,-0.087890625,0.087890625,-4.04296875,20.126953125
0.128052674960628,-0.33880771743717863,1.026156593660373,5,0,0,-2,20,4.39453125,0.703125,-0.703125,-0.087890625,0.087890625,-2.109375,20.126953125
0.17472548757900297,-0.3402891961454817,1.024888698317938,5,0,0,0,20,4.39453125,0.703125,-0.703125,-0.087890625,0.087890625,-0.263671875,20.126953125
0.23620064774243088,-0.3422567931087854,1.0230353536619081,5,0,0,2,20,4.39453125,0.703125,-0.703125,-0.087890625,0.087890625,1.7578125,20.126953125
0.2905869152991488,-0.34445988500823976,1.021472022680594,5,0,0,4,20,4.39453125,0.703125,-0.703125,-0.087890625,0.087890625,3.69140625,20.126953125
0.3473486905492176,-0.34678860499167324,1.0198213695802474,5,0,0,6,20,4.39453125,0.703125,-0.703125,-0.087890625,0.087890625,5.625,20.126953125
0.40914811143961616,-0.3486308383601917,1.0180822124119906,5,0,0,8,20,4.39453125,0.703125,-0.703125,-0.087890625,0.087890625,7.646484375,20.126953125
0.47199438587455633,-0.3508482387859157,1.0163668056448139,5,0,0,10,20,4.39453125,0.703125,-0.703125,-0.087890625,0.087890625,9.580078125,20.126953125
0.5294364389755477,-0.35332813271422037,1.014803939319089,5,0,0,12,20,4.39453125,0.703125,-0.703125,-0.087890625,0.087890625,11.337890625,20.126953125
0.6045165277125328,-0.35562285857164977,1.0125046471524102,5,0,0,14,20,4.39453125,0.703125,-0.703125,-0.087890625,0.087890625,13.447265625,20.126953125
-0.20385150525025353,-0.2976790994759451,1.035744852792968,5,0,0,-14,15,4.39453125,0.703125,-0.703125,-0.087890625,0.087890625,-13.974609375,15.205078125
-0.13439544063604125,-0.3009453849927212,1.0336896695553883,5,0,0,-12,15,4.39453125,0.703125,-0.703125,-0.087890625,0.087890625,-11.865234375,15.205078125
-0.07777834861790067,-0.30328314419722713,1.0320727293896268,5,0,0,-10,15,4.39453125,0.703125,-0.703125,-0.087890625,0.087890625,-9.931640625,15.205078125
-0.024325953824639757,-0.3049939061186849,1.0305629872315545,5,0,0,-8,15,4.39453125,0.703125,-0.703125,-0.087890625,0.087890625,-8.0859375,15.1171875
0.02433964246271536,-0.3073674443639279,1.0290882846156078,5,0,0,-6,15,4.39453125,0.703125,-0.703125,-0.087890625,0.087890625,-6.15234375,15.1171875
0.07610414583110592,-0.31038429835959835,1.0275599505144482,5,0,0,-4,15,4.39453125,0.703125,-0.703125,-0.087890625,0.087890625,-4.130859375,15.1171875
0.12900978412586783,-0.3118568566106816,1.0262256619566295,5,0,0,-2,15,4.39453125,0.703125,-0.703125,-0.087890625,0.087890625,-2.109375,15.1171875
0.17624658449284414,-0.3133798227327333,1.024819441485303,5,0,0,0,15,4.39453125,0.703125,-0.703125,-0.087890625,0.087890625,-0.263671875,15.205078125
0.2391620047965206,-0.3153389415611326,1.0229323234075627,5,0,0,2,15,4.39453125,0.703125,-0.703125,-0.087890625,0.087890625,1.7578125,15.205078125
0.2914683964181536,-0.3174403845560666,1.0215608687356852,5,0,0,4,15,4.39453125,0.703125,-0.703125,-0.087890625,0.087890625,3.69140625,15.205078125
0.3479696596958075,-0.31961242451704197,1.0199195670011911,5,0,0,6,15,4.39453125,0.703125,-0.703125,-0.087890625,0.087890625,5.625,15.1171875
0.41086941950072775,-0.32136719418259496,1.018089503063866,5,0,0,8,15,4.39453125,0.703125,-0.703125,-0.087890625,0.087890625,7.646484375,15.205078125
0.47225190620945723,-0.3235480339862108,1.0163266826781043,5,0,0,10,15,4.39453125,0.703125,-0.703125,-0.087890625,0.087890625,9.580078125,15.1171875
0.5286110217193498,-0.3259490177258063,1.0147411590378135,5,0,0,12,15,4.39453125,0.703125,-0.703125,-0.087890625,0.087890625,11.337890625,15.1171875
0.6022205488633446,-0.3279309645792261,1.012595556326249,5,0,0,14,15,4.39453125,0.703125,-0.703125,-0.087890625,0.087890625,13.359375,15.205078125
-0.20166356678584585,-0.26856676406243535,1.0356543543741394,5,0,0,-14,10,4.39453125,0.703125,-0.703125,-0.087890625,0.087890625,-13.974609375,10.1953125
-0.13527092498930982,-0.27083839498276446,1.033768339546885,5,0,0,-12,10,4.39453125,0.703125,-0.703125,-0.087890625,0.087890625,-11.953125,10.1953125
