x_c,y_c,z_c,cmd_theta_lower_neck_pan,cmd_theta_lower_neck_tilt,cmd_theta_upper_neck_tilt,cmd_theta_left_eye,cmd_theta_tilt,state_theta_lower_neck_pan,state_theta_left_lower_neck_tilt,state_theta_right_lower_neck_tilt,state_theta_left_upper_neck_tilt,state_theta_right_upper_neck_tilt,state_theta_left_eye,state_theta_tilt
-0.40564252748282736,-0.33642553582598,1.040928980036479,-5,0,0,-14,20,-5.712890625,0.703125,-0.703125,-0.087890625,0.087890625,-13.974609375,20.126953125
-0.3286335463222182,-0.33523906774685125,1.0387413325516428,-5,0,0,-12,20,-5.712890625,0.703125,-0.703125,-0.087890625,0.087890625,-11.953125,20.126953125
-0.26909296422079054,-0.33490503505841224,1.0369994137135976,-5,0,0,-10,20,-5.712890625,0.703125,-0.703125,-0.087890625,0.087890625,-9.931640625,20.126953125
-0.22011362152867409,-0.3348464962699502,1.0357315480595557,-5,0,0,-8,20,-5.712890625,0.703125,-0.703125,-0.087890625,0.087890625,-7.998046875,20.126953125
-0.16155798849474512,-0.3337449903235597,1.0338036332825178,-5,0,0,-6,20,-5.712890625,0.703125,-0.703125,-0.087890625,0.087890625,-6.15234375,20.126953125
-0.10536300831680845,-0.33441673581966236,1.0322647787921202,-5,0,0,-4,20,-5.712890625,0.703125,-0.703125,-0.087890625,0.087890625,-4.04296875,20.126953125
-0.05138275218143362,-0.3335674835979615,1.0308185873741988,-5,0,0,-2,20,-5.712890625,0.703125,-0.703125,-0.087890625,0.087890625,-2.109375,20.126953125
-0.005881720120726519,-0.33278451893219746,1.0293782174614694,-5,0,0,0,20,-5.712890625,0.703125,-0.703125,-0.087890625,0.087890625,-0.263671875,20.126953125
0.056639844939215145,-0.33191803421847776,1.0276372165635446,-5,0,0,2,20,-5.712890625,0.703125,-0.703125,-0.087890625,0.087890625,1.7578125,20.126953125
0.10746263318034421,-0.33170149684344974,1.0260825054888727,-5,0,0,4,20,-5.625,0.703125,-0.703125,-0.087890625,0.087890625,3.69140625,20.126953125
0.16177175056998272,-0.3312694348009515,1.0246584151448066,-5,0,0,6,20,-5.625,0.703125,-0.703125,-0.087890625,0.087890625,5.625,20.126953125
